Running build/bin/traccc_seq_example_cuda tml_detector/trackml-detector.csv tml_pixels/ 1
Starting CUDA clusterization.
Number of modules: 3859
TIME TAKEN FOR CCL CLUSTERISATION: 0.043409s
After: Module: 755, Clusters in module: 24, Cell 0, Point (179, 118) belongs to cluster 1. Activation: 0.032330
After: Module: 755, Clusters in module: 24, Cell 264, Point (152, 530) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 265, Point (152, 531) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 266, Point (152, 532) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 267, Point (152, 533) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 268, Point (152, 534) belongs to cluster 7. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 269, Point (152, 535) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 270, Point (152, 536) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 271, Point (152, 537) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 272, Point (152, 538) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 273, Point (152, 539) belongs to cluster 7. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 274, Point (152, 540) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 275, Point (152, 541) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 276, Point (152, 542) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 277, Point (152, 543) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 278, Point (152, 544) belongs to cluster 7. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 279, Point (152, 545) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 280, Point (152, 546) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 281, Point (152, 547) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 282, Point (152, 548) belongs to cluster 7. Activation: 0.055683
After: Module: 755, Clusters in module: 24, Cell 283, Point (155, 558) belongs to cluster 8. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 284, Point (155, 559) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 285, Point (155, 560) belongs to cluster 8. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 286, Point (155, 561) belongs to cluster 8. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 287, Point (155, 562) belongs to cluster 8. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 288, Point (155, 563) belongs to cluster 8. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 289, Point (155, 564) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 290, Point (155, 565) belongs to cluster 8. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 291, Point (155, 566) belongs to cluster 8. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 292, Point (155, 567) belongs to cluster 8. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 293, Point (155, 568) belongs to cluster 8. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 294, Point (155, 569) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 295, Point (155, 570) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 296, Point (155, 571) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 297, Point (155, 572) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 298, Point (155, 573) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 299, Point (155, 574) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 300, Point (155, 575) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 301, Point (155, 576) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 302, Point (155, 577) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 303, Point (155, 578) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 304, Point (155, 579) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 305, Point (155, 580) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 306, Point (155, 581) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 307, Point (155, 582) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 308, Point (155, 583) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 309, Point (155, 584) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 310, Point (155, 585) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 311, Point (155, 586) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 312, Point (155, 587) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 313, Point (155, 588) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 314, Point (155, 589) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 315, Point (155, 590) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 316, Point (155, 591) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 317, Point (155, 592) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 318, Point (155, 593) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 319, Point (155, 594) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 320, Point (155, 595) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 321, Point (155, 596) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 322, Point (155, 597) belongs to cluster 8. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 323, Point (155, 598) belongs to cluster 8. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 324, Point (155, 599) belongs to cluster 8. Activation: 0.035899
After: Module: 755, Clusters in module: 24, Cell 325, Point (166, 779) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 326, Point (166, 780) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 327, Point (166, 781) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 328, Point (166, 782) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 329, Point (166, 783) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 330, Point (166, 784) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 331, Point (166, 785) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 332, Point (166, 786) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 333, Point (166, 787) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 334, Point (166, 788) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 335, Point (274, 788) belongs to cluster 10. Activation: 0.018901
After: Module: 755, Clusters in module: 24, Cell 336, Point (166, 789) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 337, Point (274, 789) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 338, Point (274, 790) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 339, Point (166, 790) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 340, Point (274, 791) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 341, Point (166, 791) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 342, Point (100, 791) belongs to cluster 11. Activation: 0.033051
After: Module: 755, Clusters in module: 24, Cell 343, Point (274, 792) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 344, Point (166, 792) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 345, Point (100, 792) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 346, Point (274, 793) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 347, Point (166, 793) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 348, Point (100, 793) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 349, Point (166, 794) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 350, Point (274, 794) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 351, Point (137, 794) belongs to cluster 12. Activation: 0.048138
After: Module: 755, Clusters in module: 24, Cell 352, Point (100, 794) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 353, Point (274, 795) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 354, Point (166, 795) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 355, Point (100, 795) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 356, Point (137, 795) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 357, Point (166, 796) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 358, Point (100, 796) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 359, Point (137, 796) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 360, Point (274, 796) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 361, Point (137, 797) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 362, Point (274, 797) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 363, Point (100, 797) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 364, Point (166, 797) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 365, Point (166, 798) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 366, Point (274, 798) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 367, Point (137, 798) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 368, Point (100, 798) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 369, Point (100, 799) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 370, Point (274, 799) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 371, Point (137, 799) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 372, Point (166, 799) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 373, Point (137, 800) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 374, Point (100, 800) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 375, Point (274, 800) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 376, Point (166, 800) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 377, Point (137, 801) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 378, Point (100, 801) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 379, Point (166, 801) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 380, Point (274, 801) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 381, Point (137, 802) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 382, Point (100, 802) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 383, Point (274, 802) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 384, Point (166, 802) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 385, Point (274, 803) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 386, Point (137, 803) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 387, Point (166, 803) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 388, Point (100, 803) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 389, Point (137, 804) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 390, Point (274, 804) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 391, Point (100, 804) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 392, Point (166, 804) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 393, Point (137, 805) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 394, Point (100, 805) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 395, Point (166, 805) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 396, Point (274, 805) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 397, Point (274, 806) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 398, Point (166, 806) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 399, Point (100, 806) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 400, Point (137, 806) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 401, Point (274, 807) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 402, Point (100, 807) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 403, Point (166, 807) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 404, Point (137, 807) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 405, Point (166, 808) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 406, Point (100, 808) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 407, Point (274, 808) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 408, Point (137, 808) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 409, Point (100, 809) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 410, Point (137, 809) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 411, Point (166, 809) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 412, Point (274, 809) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 413, Point (166, 810) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 414, Point (274, 810) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 415, Point (137, 810) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 416, Point (100, 810) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 417, Point (274, 811) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 418, Point (100, 811) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 419, Point (166, 811) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 420, Point (137, 811) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 421, Point (100, 812) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 422, Point (166, 812) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 423, Point (274, 812) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 424, Point (137, 812) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 425, Point (100, 813) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 426, Point (166, 813) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 427, Point (137, 813) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 428, Point (274, 813) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 429, Point (137, 814) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 430, Point (166, 814) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 431, Point (274, 814) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 432, Point (100, 814) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 433, Point (137, 815) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 434, Point (274, 815) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 435, Point (100, 815) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 436, Point (166, 815) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 437, Point (166, 816) belongs to cluster 9. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 438, Point (100, 816) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 439, Point (137, 816) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 440, Point (274, 816) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 441, Point (166, 817) belongs to cluster 9. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 442, Point (100, 817) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 443, Point (137, 817) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 444, Point (274, 817) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 445, Point (166, 818) belongs to cluster 9. Activation: 0.025724
After: Module: 755, Clusters in module: 24, Cell 446, Point (100, 818) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 447, Point (137, 818) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 448, Point (274, 818) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 449, Point (274, 819) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 450, Point (137, 819) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 451, Point (317, 819) belongs to cluster 13. Activation: 0.042322
After: Module: 755, Clusters in module: 24, Cell 452, Point (100, 819) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 453, Point (274, 820) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 454, Point (137, 820) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 455, Point (317, 820) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 456, Point (100, 820) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 457, Point (274, 821) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 458, Point (317, 821) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 459, Point (100, 821) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 460, Point (137, 821) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 461, Point (274, 822) belongs to cluster 10. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 462, Point (137, 822) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 463, Point (100, 822) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 464, Point (317, 822) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 465, Point (317, 823) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 466, Point (274, 823) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 467, Point (100, 823) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 468, Point (137, 823) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 469, Point (274, 824) belongs to cluster 10. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 470, Point (317, 824) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 471, Point (245, 824) belongs to cluster 14. Activation: 0.048882
After: Module: 755, Clusters in module: 24, Cell 472, Point (100, 824) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 473, Point (137, 824) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 474, Point (274, 825) belongs to cluster 10. Activation: 0.049823
After: Module: 755, Clusters in module: 24, Cell 475, Point (137, 825) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 476, Point (245, 825) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 477, Point (317, 825) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 478, Point (100, 825) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 479, Point (137, 826) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 480, Point (245, 826) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 481, Point (317, 826) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 482, Point (100, 826) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 483, Point (245, 827) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 484, Point (317, 827) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 485, Point (137, 827) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 486, Point (100, 827) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 487, Point (137, 828) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 488, Point (245, 828) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 489, Point (317, 828) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 490, Point (100, 828) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 491, Point (137, 829) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 492, Point (317, 829) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 493, Point (245, 829) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 494, Point (100, 829) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 495, Point (245, 830) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 496, Point (137, 830) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 497, Point (317, 830) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 498, Point (100, 830) belongs to cluster 11. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 499, Point (137, 831) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 500, Point (245, 831) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 501, Point (317, 831) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 502, Point (100, 831) belongs to cluster 11. Activation: 0.056260
After: Module: 755, Clusters in module: 24, Cell 503, Point (137, 832) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 504, Point (245, 832) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 505, Point (100, 832) belongs to cluster 11. Activation: 0.031136
After: Module: 755, Clusters in module: 24, Cell 506, Point (317, 832) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 507, Point (245, 833) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 508, Point (317, 833) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 509, Point (137, 833) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 510, Point (317, 834) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 511, Point (137, 834) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 512, Point (245, 834) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 513, Point (245, 835) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 514, Point (137, 835) belongs to cluster 12. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 515, Point (317, 835) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 516, Point (245, 836) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 517, Point (137, 836) belongs to cluster 12. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 518, Point (317, 836) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 519, Point (137, 837) belongs to cluster 12. Activation: 0.016998
After: Module: 755, Clusters in module: 24, Cell 520, Point (317, 837) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 521, Point (102, 837) belongs to cluster 15. Activation: 0.055560
After: Module: 755, Clusters in module: 24, Cell 522, Point (245, 837) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 523, Point (245, 838) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 524, Point (102, 838) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 525, Point (317, 838) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 526, Point (245, 839) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 527, Point (102, 839) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 528, Point (317, 839) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 529, Point (245, 840) belongs to cluster 14. Activation: 0.056248
